KEYCODE,TYPE,BROKERS_WITH_DATA,TOTAL_BROKERS,COVERAGE_PCT,TOTAL_RECORDS,SAMPLE_BROKERS,STATUS
IS.35,IS,65,144,45.1,725,"AAS, ABSC, ACBS, AGR, APS",GOOD
IS.51,IS,74,144,51.4,1609,"AAS, ABW, ACBS, AGR, APG",GOOD
IS.38,IS,77,144,53.5,1821,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.68,IS,77,144,53.5,1891,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.4,IS,78,144,54.2,1820,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.24,IS,80,144,55.6,1882,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.5,IS,83,144,57.6,2249,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.3,IS,84,144,58.3,2016,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.56,IS,84,144,58.3,1875,"AAS, ABW, ACBS, AGR, APG",GOOD
IS.64,IS,84,144,58.3,4020,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.23,IS,85,144,59.0,2303,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.57,IS,85,144,59.0,3954,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.39,IS,86,144,59.7,1716,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.18,IS,87,144,60.4,1883,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.7,IS,87,144,60.4,2477,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.27,IS,88,144,61.1,3337,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.2,IS,90,144,62.5,2467,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.29,IS,90,144,62.5,3335,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.37,IS,91,144,63.2,2684,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.8,IS,91,144,63.2,3432,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.45,IS,92,144,63.9,2780,"AAS, ABW, ACBS, AGR, APG",GOOD
IS.28,IS,93,144,64.6,3411,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.48,IS,93,144,64.6,2810,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.17,IS,100,144,69.4,3579,"AAS, ABSC, ABW, ACBS, AGR",GOOD
